CATEGORY;ID IN CATEGORY;PRICE;WEIGHT
1;1;5;25
1;2;46;38
1;3;15;25
2;1;9;9
2;2;12;8
2;3;9;23
3;1;31;27
3;2;39;21
3;3;15;46
4;1;22;19
4;2;44;9
4;3;6;19
5;1;42;40
5;2;8;17
5;3;22;30
6;1;11;40
6;2;27;17
6;3;42;21
7;1;1;36
7;2;36;7
7;3;24;15
8;1;26;50
8;2;45;12
8;3;14;48
9;1;29;12
9;2;36;8
9;3;43;33
10;1;50;47
10;2;49;21
10;3;14;50
11;1;39;23
11;2;38;27
11;3;50;48
12;1;41;13
12;2;14;14
12;3;22;37
13;1;24;45
13;2;24;9
13;3;15;15
14;1;31;44
14;2;41;20
14;3;8;27
15;1;31;42
15;2;9;28
15;3;31;9
TOTAL PRICE;1190;TOTAL WEIGHT;1174
