CATEGORY;ID IN CATEGORY;PRICE;WEIGHT
1;1;2;29
1;2;33;11
1;3;43;8
2;1;38;45
2;2;33;46
2;3;3;47
3;1;25;8
3;2;7;4
3;3;35;24
4;1;33;9
4;2;31;15
4;3;24;13
5;1;27;28
5;2;42;15
5;3;44;6
6;1;22;35
6;2;24;14
6;3;45;31
7;1;20;22
7;2;25;29
7;3;33;43
8;1;20;9
8;2;45;39
8;3;32;33
9;1;8;43
9;2;34;31
9;3;2;49
10;1;23;12
10;2;1;33
10;3;36;5
11;1;6;30
11;2;47;19
11;3;40;13
12;1;7;6
12;2;8;49
12;3;17;31
13;1;13;14
13;2;27;10
13;3;40;17
14;1;19;19
14;2;22;14
14;3;40;19
15;1;11;13
15;2;33;50
15;3;2;35
16;1;20;18
16;2;32;44
16;3;6;3
17;1;48;32
17;2;29;46
17;3;34;31
TOTAL PRICE;1291;TOTAL WEIGHT;1249
