CATEGORY;ID IN CATEGORY;PRICE;WEIGHT
1;1;30;32
1;2;42;2
1;3;44;36
2;1;47;37
2;2;5;43
2;3;20;42
3;1;32;2
3;2;34;13
3;3;19;2
4;1;14;23
4;2;19;9
4;3;9;8
5;1;33;9
5;2;3;45
5;3;5;25
6;1;8;32
6;2;25;34
6;3;27;44
7;1;44;17
7;2;39;47
7;3;12;31
8;1;42;35
8;2;17;33
8;3;8;7
9;1;40;17
9;2;40;35
9;3;10;42
10;1;26;15
10;2;11;37
10;3;37;10
11;1;36;35
11;2;47;26
11;3;50;29
12;1;40;42
12;2;20;5
12;3;33;35
13;1;47;43
13;2;16;21
13;3;47;33
14;1;5;45
14;2;48;39
14;3;38;16
15;1;19;38
15;2;17;2
15;3;14;37
16;1;30;20
16;2;7;23
16;3;11;41
17;1;42;6
17;2;47;42
17;3;31;19
18;1;36;26
18;2;38;2
18;3;45;12
19;1;27;5
19;2;45;49
19;3;45;50
20;1;5;15
20;2;40;32
20;3;11;20
TOTAL PRICE;1679;TOTAL WEIGHT;1572
