CATEGORY;ID IN CATEGORY;PRICE;WEIGHT
1;1;37;49
1;2;4;32
1;3;5;45
2;1;11;39
2;2;37;23
2;3;48;42
3;1;9;15
3;2;44;21
3;3;8;45
4;1;44;19
4;2;13;41
4;3;12;5
5;1;42;50
5;2;41;32
5;3;15;46
6;1;29;29
6;2;28;46
6;3;20;24
7;1;9;35
7;2;7;38
7;3;50;27
8;1;16;20
8;2;29;47
8;3;16;47
9;1;18;27
9;2;29;28
9;3;25;17
10;1;6;26
10;2;45;41
10;3;34;6
11;1;25;9
11;2;44;40
11;3;40;6
12;1;5;36
12;2;18;19
12;3;39;13
13;1;30;47
13;2;32;9
13;3;8;37
14;1;8;6
14;2;15;7
14;3;19;2
15;1;35;40
15;2;37;11
15;3;26;39
16;1;44;29
16;2;30;7
16;3;27;43
17;1;39;10
17;2;32;28
17;3;11;11
18;1;17;12
18;2;43;45
18;3;10;36
19;1;10;16
19;2;33;49
19;3;38;33
TOTAL PRICE;1446;TOTAL WEIGHT;1602
