CATEGORY;ID IN CATEGORY;PRICE;WEIGHT
1;1;7;30
1;2;47;49
1;3;27;17
2;1;41;41
2;2;44;4
2;3;11;20
3;1;2;45
3;2;42;50
3;3;12;20
4;1;40;37
4;2;47;18
4;3;20;40
5;1;3;31
5;2;17;40
5;3;4;18
6;1;4;47
6;2;22;16
6;3;50;46
7;1;36;34
7;2;35;37
7;3;27;46
8;1;49;39
8;2;14;1
8;3;48;31
9;1;31;11
9;2;48;38
9;3;48;49
10;1;8;26
10;2;38;14
10;3;33;25
11;1;31;43
11;2;3;33
11;3;20;12
12;1;31;17
12;2;43;17
12;3;15;36
13;1;46;17
13;2;10;29
13;3;46;23
14;1;32;16
14;2;8;25
14;3;14;7
15;1;8;26
15;2;1;44
15;3;11;20
16;1;39;37
16;2;14;50
16;3;3;5
17;1;44;27
17;2;7;44
17;3;30;16
18;1;14;32
18;2;15;24
18;3;1;10
19;1;30;45
19;2;49;33
19;3;28;5
20;1;41;3
20;2;22;12
20;3;48;24
21;1;1;40
21;2;36;13
21;3;35;26
TOTAL PRICE;1631;TOTAL WEIGHT;1731
