CATEGORY;ID IN CATEGORY;PRICE;WEIGHT
1;1;42;5
1;2;17;29
1;3;2;37
2;1;39;36
2;2;19;28
2;3;14;22
3;1;2;15
3;2;14;8
3;3;20;1
4;1;35;12
4;2;23;39
4;3;3;17
5;1;49;3
5;2;50;32
5;3;31;38
6;1;8;15
6;2;29;9
6;3;13;48
7;1;47;31
7;2;16;14
7;3;49;40
8;1;2;40
8;2;25;34
8;3;28;24
9;1;25;49
9;2;43;41
9;3;33;35
10;1;1;29
10;2;21;22
10;3;24;12
11;1;35;39
11;2;9;25
11;3;29;25
12;1;15;25
12;2;16;22
12;3;24;47
13;1;33;36
13;2;13;1
13;3;24;46
14;1;7;15
14;2;50;39
14;3;40;36
15;1;14;37
15;2;14;21
15;3;30;48
16;1;7;49
16;2;50;38
16;3;43;38
17;1;29;20
17;2;13;47
17;3;28;18
18;1;8;18
18;2;50;4
18;3;43;26
19;1;40;41
19;2;19;23
19;3;39;13
20;1;30;43
20;2;37;28
20;3;12;18
21;1;44;15
21;2;50;30
21;3;47;15
22;1;43;5
22;2;22;3
22;3;14;38
TOTAL PRICE;1745;TOTAL WEIGHT;1757
